exercise,muscle_group
Slider Mountain Climber,Abdominals
"Slider Pike ",Abdominals
Stability Ball Pike,Abdominals
Slider Wide Mountain Climber,Abdominals
Stability Ball Crunch,Abdominals
Stability Ball Feet Elevated Oblique Crunch,Abdominals
Stability Ball Kneeling Rollout,Abdominals
Stability Ball Single Leg Knee Tuck,Abdominals
Stability Ball Single Leg Pike,Abdominals
Parallette Kneeling Push Up,Chest
Single Arm Kettlebell Swing,Glutes
Double Dumbbell Romanian Deadlift,Hamstrings
Single Arm Dumbbell Side Plank,Abdominals
Bodyweight Single Leg Glute Bridge,Glutes
Dumbbell Glute Bridge,Glutes
Bodyweight Glute Bridge Alternating Single Leg Extension,Glutes
Miniband Side Lying Clamshell,Glutes
Miniband Side Lying Hip Abduction,Abductors
Miniband Bench Seated Hip Abduction,Abductors
Miniband Glute Bridge With Hip Abduction,Glutes
Stability Ball Hip Thrust,Glutes
Stability Ball Dumbbell Hip Thrust,Glutes
Bodyweight Frog Pump,Glutes
Dumbbell Frog Pump,Glutes
Cable Glute Kickback,Glutes
Bodyweight Single Leg Foot Elevated Glute Bridge,Glutes
Suspension Glute Bridge,Glutes
Miniband Thigh Lateral Walk,Abductors
Miniband Shin Lateral Walk,Abductors
Miniband Feet Lateral Walk,Abductors
Miniband Standing Glute Kickback,Glutes
Barbell Hip Thrust,Glutes
Barbell Single Leg Hip Thrust,Glutes
Stability Ball Single Leg Foot Elevated Glute Bridge,Glutes
Miniband Standing Hip Abduction,Abductors
Miniband 3-Way Cha Cha,Abductors
Barbell Standing Calf Raise,Calves
Cable Hip Abduction,Abductors
Miniband Wall Sit Hip Abduction,Quadriceps
Barbell Overhead Adductor Slide,Adductors
"Stability Ball T's Y's I's ",Shoulders
Resistance Band Reverse Fly,Shoulders
Resistance Band Lateral Raise,Shoulders
Double Dumbbell Lateral Raise,Shoulders
Single Arm Resistance Band Standing Shoulder External Rotation,Shoulders
Double Dumbbell Seated Lateral Raise,Shoulders
Bodyweight Pike Push Up,Shoulders
Single Arm Dumbbell Side Lying Shoulder External Rotation,Shoulders
Single Arm Dumbbell Seated Shoulder External Rotation,Shoulders
Miniband Standing Shoulder External Rotation,Shoulders
Double Dumbbell Seated Cuban Rotation,Shoulders
Double Dumbbell Standing Cuban Rotation,Shoulders
Single Arm Cable Half Kneeling Shoulder External Rotation 90 Degrees,Shoulders
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Shoulders
"Parallette Feet Elevated Pike Push Up ",Shoulders
Barbell Thruster,Shoulders
Parallette Wall Supported Handstand Push Up,Shoulders
Barbell Sots Press,Shoulders
"Single Arm Dumbbell V Sit Overhead Press ",Shoulders
Double Dumbbell Z Press,Shoulders
Single Arm Dumbbell Z Press,Shoulders
Stability Ball Dumbbell Arnold Press,Shoulders
Single Arm Dumbbell Half Kneeling Overhead Press,Shoulders
Single Arm Cable Lateral Raise,Shoulders
Double Dumbbell Thruster,Shoulders
Single Arm Dumbbell Thruster,Shoulders
Parallette Handstand Push Up,Shoulders
Double Dumbbell Seated Overhead Press,Shoulders
Double Dumbbell Overhead Press,Shoulders
Single Arm Dumbbell Overhead Carry,Shoulders
Bodyweight Freestanding Handstand Push Up,Shoulders
Barbell Shrug,Trapezius
Double Dumbbell Shrug,Trapezius
Cable Standing Face Pull,Shoulders
Cable Seated Face Pull,Shoulders
Double Dumbbell Standing Scaption,Shoulders
Double Dumbbell Seated Scaption,Shoulders
Stability Ball Dumbbell Seated Scaption,Shoulders
Cable Standing Knee Strap Hip External Rotation (90 Degrees),Glutes
Cable Hip External Rotation,Glutes
Double Dumbbell Bicep Curl,Biceps
Alternating Double Dumbbell Bicep Curl,Biceps
Alternating Double Dumbbell Hammer Curl,Biceps
Alternating Double Dumbbell Cross Body Hammer Curl,Biceps
Cable Guillotine Curl,Biceps
Cable Supine Bicep Curl,Biceps
Single Arm Dumbbell Incline Bench Preacher Curl,Biceps
Dumbbell Crush Grip Bicep Curl,Biceps
Double Dumbbell Zottman Curl,Biceps
Dumbbell Waiter Curl,Biceps
High Cable Straight Bar Bicep Curl,Biceps
Cable Straight Bar Drag Curl,Biceps
Double Dumbbell Spider Curl,Biceps
EZ Bar Spider Curl,Biceps
Parallette Side Plank,Abdominals
Parallette Feet Elevated Push Up,Chest
Parallette Side Plank Reach Through,Abdominals
Parallette Plank Single Arm Dumbbell Row,Back
Stability Ball Cable Preacher Curl,Biceps
Single Arm Dumbbell Standing Concentration Curl,Biceps
Reverse Barbell Curl,Forearms
EZ Bar Standing Bicep Curl,Biceps
Cable Rope Hammer Curl,Biceps
Single Arm Cable Standing High Bicep Curl,Biceps
Suspension Bicep Curl,Biceps
Double Dumbbell Standing Tricep Kickback,Triceps
EZ Bar Seated Overhead Tricep Extension,Triceps
EZ Bar Standing Overhead Tricep Extension,Triceps
Dumbbell Seated Overhead Tricep Extension,Triceps
Dumbbell Standing Overhead Tricep Extension,Triceps
Bodyweight Diamond Push Up,Triceps
Double Dumbbell Close Grip Floor Chest Press,Triceps
Double Dumbbell Close Grip Bench Press,Triceps
Double Dumbbell Close Grip Incline Bench Press,Triceps
"EZ Bar Lying Tricep Extension ",Triceps
Stability Ball Feet Elevated Diamond Push Up,Triceps
Bodyweight Tricep Extension,Triceps
Cable Rope Standing Overhead Tricep Extension,Triceps
"Cable Rope Standing Tricep Pushdown ",Triceps
Ring Dips,Triceps
Single Arm Cable Reverse Tricep Pulldown,Triceps
Double Dumbbell Suitcase Carry,Forearms
Barbell Seated Wrist Curl,Forearms
EZ Bar Reverse Grip Bicep Curl,Forearms
Bodyweight Incline Push Up,Chest
Bodyweight Kneeling Push Up,Chest
Suspension Chest Press,Chest
Suspension Chest Fly,Chest
Double Dumbbell Glute Bridge Chest Press,Chest
Stability Ball Single Arm Dumbbell Chest Press,Chest
Stability Ball Double Dumbbell Chest Fly,Chest
Bodyweight Burpee,Chest
Double Dumbbell Devil Press,Shoulders
Alternating Single Arm Dumbbell Devil Press,Shoulders
Single Arm Dumbbell Hollow Body Chest Press,Chest
Bodyweight Plyometric Push Up On Weight Plates,Chest
"Stability Ball Dumbbell Pullover ",Chest
Double Dumbbell Incline Bench Chest Fly,Chest
Bodyweight Single Arm Push Up,Chest
Bodyweight Aztec Push Up,Chest
Single Arm Ring Grip Push Up,Chest
Bodyweight Rolling Squat Burpee,Chest
Ring Grip Push Up,Chest
Suspension Low Row,Back
Suspension Mid Row,Back
Suspension Face Pull,Shoulders
Cable Seated V Grip Low Row,Back
Landmine V Grip Row,Back
Single Arm Landmine Row,Back
Single Arm Kettlebell Bent Over Row,Back
Double Kettlebell Gorilla Row,Back
Superband Assisted Wide Grip Pull Up,Back
Resistance Band Half Kneeling Face Pull,Shoulders
Single Arm Dumbbell Single Leg Contralateral Bent Over Row,Back
Stability Ball Prone Cobra,Back
Bodyweight Prone Cobra,Back
Double Dumbbell Pendlay Row,Back
Double Dumbbell Single Leg Row,Back
Cable Straight Bar Pullover,Back
Single Arm Dumbbell Bird Dog Row,Back
Single Arm Cable Half Kneeling Lat Pulldown,Back
Single Arm Cable Half Kneeling Low Row,Back
Single Arm Suspension Low Row,Back
Single Arm Dumbbell Suitcase Deadlift,Back
Single Arm Kettlebell Suitcase Deadlift,Back
Double Dumbbell Incline Bench Prone Row,Back
Ring Archer Pull Up,Back
"Double Dumbbell Renegade Row ",Back
Barbell Conventional Deadlift,Back
Barbell Sumo Deadlift,Back
Barbell Rack Pull,Back
Barbell Snatch Grip Deadlift,Back
Barbell Pendlay Row,Back
Stability Ball Hyperextension,Back
"Barbell Seated Good Morning ",Back
Barbell Good Morning,Back
"Bodyweight Wall Sit ",Quadriceps
Bodyweight Wall Slide Squat,Quadriceps
Stability Ball Wall Slide Squat,Quadriceps
Suspension Squat,Quadriceps
Suspension Alternating Reverse Lunge,Quadriceps
Bodyweight Squat to Bench,Quadriceps
Bodyweight Squat,Quadriceps
Bodyweight Hand Assisted Split Squat,Quadriceps
Bodyweight Walking Lunge,Quadriceps
"Dumbbell Goblet Squat ",Quadriceps
Miniband Romanian Deadlift,Hamstrings
Superband Resisted Skater Jump,Abductors
Cable Prone Single Leg Hamstring Curl,Hamstrings
Bodyweight Candlestick Roll Up Tuck Jump,Glutes
Barbell Bench Press,Chest
Barbell Bicep Curl,Biceps
Barbell Block Pull Deadlift,Back
Barbell Box Pause Back Squat,Quadriceps
Barbell Deficit Deadlift,Back
Barbell Front Squat,Quadriceps
Barbell Glute Bridge,Glutes
Barbell Halting Deadlift,Back
Barbell High Bar Back Squat,Quadriceps
Barbell Low Bar Back Squat,Quadriceps
Barbell Overhead Press,Shoulders
Barbell Power Clean,Glutes
Barbell Power Snatch,Glutes
Barbell Push Press,Shoulders
Barbell Romanian Deadlift,Hamstrings
Barbell Row,Back
Barbell Back Rack Split Squat,Quadriceps
Barbell Stiff Legged Deadlift,Hamstrings
Barbell Sumo Squat,Glutes
Bodyweight Pistol Squat,Quadriceps
Bodyweight Skater Squat,Quadriceps
Cable Pull Through,Glutes
Double Dumbbell Suitcase Bulgarian Split Squat,Quadriceps
Double Dumbbell Suitcase Box Step Up,Quadriceps
Double Dumbbell Suitcase Deficit Split Squat,Quadriceps
Double Dumbbell Suitcase Alternating Forward Lunge,Quadriceps
Double Dumbbell Suitcase Alternating Reverse Lunge,Quadriceps
Double Dumbbell Seated Reverse Fly,Shoulders
Double Dumbbell Suitcase Split Squat,Quadriceps
Double Dumbbell Front Rack Alternating Box Step Up,Quadriceps
Bodyweight Face the Wall Squat,Quadriceps
Bodyweight Feet Elevated Glute Bridge,Glutes
Single Arm Kettlebell Clean,Glutes
Single Arm Kettlebell Clean to Overhead Press,Shoulders
Kettlebell Alternating Halo,Shoulders
Single Arm Kettlebell Overhead Press,Shoulders
Single Arm Kettlebell Snatch,Shoulders
Kettlebell Sumo Deadlift,Back
Single Arm Kettlebell Turkish Get Up,Abdominals
Miniband Monster Walk,Abductors
Bodyweight Quadruped Hip Extension,Glutes
Suspension Pistol Squat,Quadriceps
Suspension Skater Squat,Quadriceps
Bodyweight Tuck Jump,Quadriceps
Bodyweight Alternating Single Leg Wall Sit,Quadriceps
Bodyweight Single Leg Romanian Deadlift Jump,Hamstrings
Double Dumbbell Overhead Walking Lunge,Quadriceps
Stability Ball Overhead Walking Lunge,Quadriceps
Stability Ball Dumbbell Suitcase Bulgarian Split Squat,Quadriceps
Bodyweight Leg Extension,Quadriceps
Bodyweight Lateral Bench Jump,Glutes
Single Arm Dumbbell Front Rack Squat,Quadriceps
Bodyweight Skater Jump,Abductors
Slider Single Arm Dumbbell Front Rack Reverse Lunge,Quadriceps
Cable Prone Hamstring Curl,Hamstrings
Bodyweight Bulgarian Split Squat Jumps,Quadriceps
Cable Standing Single Leg Hamstring Curl,Hamstrings
Bodyweight Nordic Hamstring Curl,Hamstrings
Superband Assisted Pistol Squat,Quadriceps
Kettlebell Goblet Squat,Quadriceps
Double Dumbbell Front Rack Squat,Quadriceps
Double Dumbbell Suitcase Walking Lunge,Quadriceps
Barbell Back Rack Walking Lunge,Quadriceps
Bodyweight Box Pistol Squat,Quadriceps
Barbell Overhead Squat,Quadriceps
Single Arm Kettlebell Overhead Squat,Quadriceps
Landmine Goblet Squat,Quadriceps
Stability Ball Hamstring Curl,Hamstrings
Slider Hamstring Curl,Hamstrings
"Bodyweight Hamstring Walkout ",Hamstrings
Slider Dumbbell Goblet Reverse Lunge,Quadriceps
Bodyweight Dragon Pistol Squat,Quadriceps
Single Arm Dumbbell Front Rack Cossack Squat to Overhead Press,Shoulders
Stability Ball Single Leg Hamstring Curl,Hamstrings
Barbell Single Leg Romanian Deadlift,Hamstrings
Double Dumbbell Suitcase Lateral Lunge,Quadriceps
Barbell Frankenstein Walking Lunge,Quadriceps
Barbell Overhead Walking Lunge,Quadriceps
Barbell Squat Clean,Quadriceps
Landmine Clean and Jerk,Shoulders
Landmine Hack Squat,Quadriceps
Single Arm Landmine Shoulder Press,Shoulders
Alternating Single Arm Landmine Shoulder Press,Shoulders
Single Arm Landmine Half Kneeling Shoulder Press,Shoulders
Single Arm Landmine Tall Kneeling Shoulder Press,Shoulders
Single Arm Landmine Meadows Row,Back
Single Arm Landmine Z Press,Shoulders
Barbell Z Press,Shoulders
"Landmine Half Kneeling Oblique Twist ",Abdominals
Cable Seated Bicep Curl,Biceps
Single Arm Dumbbell Seated Concentration Curl,Biceps
Alternating Double Dumbbell Incline Bench Bicep Curl,Biceps
Single Arm Suspension Bicep Curl,Biceps
Stability Ball Single Arm Plank,Abdominals
Stability Ball Feet Elevated Single Arm Plank,Abdominals
Landmine Zercher Skater Squat,Quadriceps
Landmine Reverse Lunge to Single Arm Shoulder Press,Shoulders
Landmine Thruster,Shoulders
Landmine Romanian Deadlift,Hamstrings
Landmine Single Leg Romanian Deadlift,Hamstrings
Landmine Tall Kneeling Oblique Twist,Abdominals
Landmine Russian Twist,Abdominals
Single Arm Landmine Thruster,Shoulders
Landmine Calf Raise,Calves
"Cable Tall Kneeling Overhead Tricep Extension ",Triceps
Cable Rope Skullcrusher,Triceps
Barbell Power Clean to Overhead Press,Shoulders
Single Arm Dumbbell Seated Cuban Press,Shoulders
Landmine Zercher Curtsy Lunge,Quadriceps
Barbell Back Rack Alternating Cossack Squat,Quadriceps
Barbell Front Rack Alternating Cossack Squat,Quadriceps
Kettlebell Goblet Alternating Cossack Squat,Quadriceps
Dumbbell Goblet Alternating Cossack Squat,Quadriceps
Bodyweight Alternating Cossack Squat,Quadriceps
"Bodyweight Knee Over Toes Split Squat ",Quadriceps
Barbell Back Rack Knee Over Toes Split Squat,Quadriceps
Barbell Front Rack Knee Over Toes Split Squat,Quadriceps
Barbell Overhead Knee Over Toes Split Squat,Quadriceps
Single Arm Barbell Overhead Press,Shoulders
Barbell Single Leg Bent Knee Bicep Curl,Biceps
Slider Knee Tuck,Abdominals
Bodyweight Wall Facing Handstand,Shoulders
"Bodyweight Freestanding Handstand ",Shoulders
Suspension Atomic Push Up,Chest
Suspension Pike,Abdominals
Suspension Side Plank Reach Through,Abdominals
Bodyweight Cocoon Crunch,Abdominals
Ab Wheel Standing Rollout,Abdominals
Cable Fire Hydrant,Glutes
Cable Tall Kneeling Pull Through,Glutes
Stability Ball Bent Knee Reverse Hyperextension,Glutes
Bodyweight Bent Knee Reverse Hyperextension on Bench,Glutes
Parallette Tuck L Sit,Abdominals
Parallette Close Grip Push Up,Triceps
Parallette Feet Elevated Close Grip Tricep Push Up,Chest
Parallette Single Leg L Sit,Abdominals
Stability Ball Bottoms Up,Abdominals
Stability Ball Windshield Wiper,Abdominals
Stability Ball Tall Kneeling Balance,Abdominals
"Stability Ball Oblique Crunch ",Abdominals
Stability Ball Elbow Plank,Abdominals
Double Kettlebell Feet Elevated Push Up,Chest
Single Arm Kettlebell Turkish Sit Up,Abdominals
Single Arm Dumbbell Turkish Sit Up,Abdominals
Single Arm Landmine Turkish Sit Up,Abdominals
Double Kettlebell Turkish Sit Up,Abdominals
Double Dumbbell Turkish Sit Up,Abdominals
Double Kettlebell Turkish Sit Up to Z Press,Abdominals
Double Kettlebell Front Rack Alternating Cossack Squat,Quadriceps
Double Dumbbell Front Rack Alternating Cossack Squat,Quadriceps
Double Kettlebell Swing,Glutes
Double Kettlebell Front Rack Squat,Quadriceps
Single Arm Kettlebell Front Rack Squat,Quadriceps
Single Arm Kettlebell Front Rack Contralateral Split Squat,Quadriceps
Single Arm Kettlebell Front Rack Carry,Abdominals
Single Arm Kettlebell Front Rack Alternating Cossack Squat,Quadriceps
Single Arm Kettlebell Squat Clean,Glutes
Stability Ball Feet Elevated Parallette Push Up,Chest
Stability Ball Feet Elevated Parallette Plank,Abdominals
Stability Ball Feet Elevated Single Arm Parallette Plank,Abdominals
Stability Ball Feet Elevated Alternating Single Arm Parallette Plank,Abdominals
Bodyweight Archer Push Up,Chest
Parallette Archer Push Up,Chest
Parallette Wide Push Up,Chest
Double Dumbbell Suitcase Knee Over Toes Split Squat,Quadriceps
Alternating Double Dumbbell Front Raise,Shoulders
Barbell Front Raise,Shoulders
Single Arm Cable Front Raise,Shoulders
Cable Straight Bar Front Raise,Shoulders
Cable Half Kneeling Pallof Press,Abdominals
Kettlebell Bottoms Up Horn Grip Standing Bicep Curl,Biceps
Single Arm Kettlebell Bottoms Up Front Rack Carry,Abdominals
Double Kettlebell Bottoms Up Front Rack Carry,Abdominals
Double Kettlebell Bottoms Up Overhead Walking Lunge,Quadriceps
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Quadriceps
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Shoulders
Barbell Kneeling Rollout,Abdominals
Barbell Close Grip Bench Press,Triceps
Single Arm Suspension Chest Press,Chest
Cable Tall Kneeling Pallof Press,Abdominals
Single Arm Cable Bicep Curl,Biceps
Single Arm Cable Shotgun Row,Back
Barbell Hang Power Clean,Glutes
Landmine Goblet Alternating Cossack Squat,Quadriceps
Landmine Low Hold Alternating Cossack Squat,Quadriceps
Ring Shoulder Stand,Shoulders
Ring Strap Handstand,Shoulders
Ring Handstand,Shoulders
Bodyweight Pike Headstand Push Up,Shoulders
Bodyweight Feet Elevated Pike Headstand Push Up,Shoulders
Bodyweight Wall Headstand Push Up,Shoulders
Bodyweight Freestanding Headstand Push Up,Shoulders
Ring Bulgarian Handstand Push Up,Shoulders
Ring Strap Handstand Push Up,Shoulders
Ring Freestanding Handstand Push Up,Shoulders
Bodyweight Bent Arm Press Handstand,Shoulders
Parallette L Sit to Bent Arm Press Handstand,Shoulders
Bodyweight Chest Roll to Straight Body Press Handstand,Shoulders
Ring Bent Arm Bent Body Press Handstand,Shoulders
Ring Dip to Handstand,Triceps
Ring Handstand to Elbow Lever to Handstand,Shoulders
Ring Dip Straight Body Press to Handstand,Shoulders
Bodyweight Wall Eccentric Straddle Press Handstand,Shoulders
"Bodyweight Straddle Stand Press Handstand ",Shoulders
Bodyweight Pike Stand Press Handstand,Shoulders
Parallette L Sit to Straddle Press Handstand,Shoulders
Parallette L Sit to Pike Press Handstand,Shoulders
Ring Straight Arm L Sit Straddle Press Handstand,Shoulders
Ring Straight Arm Pike Press Handstand,Shoulders
Bodyweight Tuck L Sit,Abdominals
Parallette Straddle L Sit,Abdominals
Ring Turned Out L Sit,Abdominals
Ring Skin The Cat,Shoulders
"Bodyweight Manna ",Abdominals
Ring Tuck Back Lever,Abdominals
Ring Advanced Tuck Back Lever,Abdominals
Ring Straddle Back Lever,Abdominals
Ring Half Lay Back Lever,Abdominals
Ring Single Leg Out Back Lever,Abdominals
Ring Full Back Lever,Abdominals
Ring Back Lever Pullout,Abdominals
Ring German Hang Pullout,Abdominals
Ring Handstand Lower to Back Lever,Abdominals
Ring Tuck Front Lever,Abdominals
Ring Advanced Tuck Front Lever,Abdominals
Ring Straddle Front Lever,Abdominals
Ring Half Lay Front Lever,Abdominals
Ring Single Leg Out Front Lever,Abdominals
Ring Full Front Lever,Abdominals
Ring Front Lever Pull to Inverted Hang,Abdominals
Ring Inverted Hang,Abdominals
Single Arm Barbell Kneeling Rollout,Abdominals
Single Arm Barbell Standing Rollout,Abdominals
Ring Circle Front Lever,Abdominals
Ring Tuck Front Lever Pull Up,Back
Ring Advanced Tuck Front Lever Pull Up,Back
Ring Straddle Front Lever Pull Up,Back
Ring Dead Hang to Front Lever Pull Up,Back
Ring Full Front Lever Pull Up,Back
Ring Row Feet Elevated,Back
Ring Bulgarian Row Feet Elevated,Back
Ring Archer Row Feet Elevated,Back
"Single Arm Ring Row Feet Elevated ",Back
Ring L Sit Pull Up,Back
Ring Bulgarian Pull Up,Back
Ring Bulgarian L Sit Pull Up,Back
Ring Plank,Abdominals
Single Arm Ring Plank,Abdominals
Ring Push Up,Chest
Single Arm Ring Push Up,Chest
Ring Support Hold,Abdominals
Ring Side Plank,Abdominals
Ring L Sit Muscle Up,Back
Ring Strict Muscle Up,Back
Ring Chest Fly,Chest
Single Arm Barbell Bicep Curl,Biceps
"Bodyweight Hollow Rock ",Abdominals
Single Arm Dumbbell Power Snatch,Glutes
Alternating Single Arm Dumbbell Power Snatch,Glutes
Single Arm Dumbbell Squat Snatch,Glutes
Alternating Single Arm Dumbbell Squat Snatch,Glutes
Single Arm Cable Single Leg Romanian Deadlift,Hamstrings
"Double Kettlebell Single Leg Romanian Deadlift ",Hamstrings
"Double Kettlebell Romanian Deadlift ",Hamstrings
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Hamstrings
Cable Wide Grip Lat Pulldown,Back
Cable Reverse Grip Lat Pulldown,Back
Cable Seated V Grip Lat Pulldown,Back
Cable Half Kneeling Face Pull,Shoulders
Single Arm Landmine Half Knee Hover Shoulder Press,Shoulders
Double Dumbbell Seated Good Morning,Back
Bodyweight Hip Thrust,Glutes
Single Arm Kettlebell Bottoms Up Overhead Squat,Quadriceps
Stability Ball Dumbbell Seated Alternating Lateral Raise,Shoulders
Single Arm Dumbbell Bench Press,Chest
Double Dumbbell Bench Press,Chest
Double Dumbbell Incline Bench Press,Chest
Stability Ball Dumbbell W Raise,Shoulders
Ring Side Plank Reach Through,Abdominals
Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,Quadriceps
Single Arm Dumbbell Overhead Contralateral Knee Over Toes Split Squat,Quadriceps
Double Kettlebell Z Press,Shoulders
Double Kettlebell Clean,Glutes
Double Kettlebell Snatch,Glutes
Double Kettlebell Push Press,Shoulders
Double Kettlebell Split Jerk,Shoulders
Double Kettlebell Clean and Jerk,Glutes
Double Kettlebell High Pull,Shoulders
Double Kettlebell Sumo Deadlift,Back
Double Kettlebell Bent Over Row,Back
Double Kettlebell Bottoms Up Front Rack Squat,Quadriceps
Double Kettlebell Front Rack Knee Over Toes Split Squat,Quadriceps
Double Kettlebell Overhead Knee Over Toes Split Squat,Quadriceps
Double Kettlebell Thruster,Shoulders
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Quadriceps
Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Quadriceps
Double Kettlebell Tall Kneeling Overhead Press,Shoulders
Double Kettlebell Front Rack Walking Lunge,Quadriceps
Double Kettlebell Overhead Walking Lunge,Quadriceps
Alternating Double Kettlebell Sots Press,Shoulders
Double Kettlebell Shrug,"Trapezius "
Double Kettlebell Hang Squat Clean,Glutes
Double Kettlebell Hollow Hold,Abdominals
Double Kettlebell Hollow Hold With Flutter Kick,Abdominals
Double Kettlebell Dead Clean to Push Press,Shoulders
Double Kettlebell Pendlay Row,Back
Double Kettlebell Front Rack Split Squat,Quadriceps
Double Kettlebell Front Rack Bulgarian Split Squat,Quadriceps
Double Kettlebell Overhead Squat,Quadriceps
Double Kettlebell Half Kneeling Overhead Press,Shoulders
Double Kettlebell Front Rack Cyclist Squat,Quadriceps
Double Kettlebell Front Rack Reverse Lunge,Quadriceps
Double Kettlebell Front Rack Box Step Up,Quadriceps
Single Arm Kettlebell Overhead Contralateral Knee Over Toes Split Squat,Quadriceps
Single Arm Kettlebell Dead Clean to Rotational Overhead Press,Shoulders
Single Arm Kettlebell Rotational Overhead Press,Shoulders
Single Arm Kettlebell Sumo Deadlift,Glutes
Single Arm Kettlebell Front Rack Contralateral Knee Over Toes Split Squat,Quadriceps
Single Arm Kettlebell Push Press,Shoulders
Single Arm Kettlebell Push Jerk,Shoulders
Single Arm Kettlebell Seated Overhead Press,Shoulders
Single Arm Kettlebell Z Press,Shoulders
Single Arm Kettlebell Contralateral Split Squat Thruster,Shoulders
Double Kettlebell Split Squat Thruster,Shoulders
Kettlebell Swing,Glutes
Alternating Single Arm Kettlebell Swing,Glutes
Alternating Single Arm Kettlebell Clean,Glutes
Alternating Single Arm Kettlebell Snatch,Glutes
Single Arm Kettlebell Sots Press,Shoulders
Single Arm Kettlebell Bottoms Up Overhead Contralateral Knee Over Toes Split Squat,Quadriceps
Single Arm Kettlebell Staggered Stance Swing,Glutes
Alternating Single Arm Kettlebell Staggered Stance Swing,Glutes
Single Arm Kettlebell Half Kneeling Swing,Glutes
Double Kettlebell Outside Swing,Glutes
Double Kettlebell Outside Snatch,Glutes
Double Kettlebell Outside Clean,Glutes
Double Kettlebell Outside Clean and Press,Shoulders
Single Arm Kettlebell Side Swing,Abdominals
Parallette Push Up With Alternating Shoulder Taps,Chest
Parallette Tuck Planche,Abdominals
Parallette Dive Bomber Push Up,Chest
Bodyweight Dive Bomber Push Up,Chest
Parallette L Sit to Tuck Planche,Abdominals
Double Dumbbell Prone Row,Back
Landmine Standing Oblique Twist,Abdominals
Cable Tall Kneeling High to Low Chop,Abdominals
Single Arm Parallette Plank,Abdominals
Single Arm Suspension Plank,Abdominals
Battle Rope Russian Twist,Abdominals
Bodyweight Bird Dog Knee to Elbow,Abdominals
Slam Ball Russian Twist Feet Elevated,Abdominals
